Karlgren (1954)          	0.6758 	-0.0063	 0.0220 	30.98	1	0.00100
Li (1971)                	0.7828 	-0.0056	 0.0373 	21.13	1	0.00100
Wáng (1980)              	0.7465 	-0.0060	 0.0302 	24.93	1	0.00100
Zhèngzhāng (2003)        	0.7088 	-0.0066	 0.0268 	26.70	1	0.00100
Starostin (1989)         	0.8676 	-0.0064	 0.0283 	30.89	1	0.00100
Pān (2000)               	0.6941 	-0.0068	 0.0265 	26.40	1	0.00100
Baxter and Sagart (2014) 	0.8769 	-0.0059	 0.0277 	31.86	1	0.00100
Schuessler (2007)        	0.6991 	-0.0061	 0.0270 	26.12	1	0.00100
Karlgren (1954)          	0.6114 	-0.0059	 0.0221 	27.93	2	0.00100
Li (1971)                	0.8760 	-0.0057	 0.0354 	24.94	2	0.00100
Wáng (1980)              	0.8364 	-0.0054	 0.0306 	27.55	2	0.00100
Zhèngzhāng (2003)        	0.7747 	-0.0054	 0.0262 	29.83	2	0.00100
Starostin (1989)         	0.8483 	-0.0050	 0.0276 	30.96	2	0.00100
Pān (2000)               	0.7716 	-0.0054	 0.0258 	30.15	2	0.00100
Baxter and Sagart (2014) 	0.8949 	-0.0059	 0.0270 	33.34	2	0.00100
Schuessler (2007)        	0.7148 	-0.0057	 0.0274 	26.26	2	0.00100
Karlgren (1954)          	0.6391 	-0.0056	 0.0206 	31.29	3	0.00100
Li (1971)                	0.8089 	-0.0063	 0.0322 	25.29	3	0.00100
Wáng (1980)              	0.7983 	-0.0065	 0.0285 	28.24	3	0.00100
Zhèngzhāng (2003)        	0.7573 	-0.0064	 0.0251 	30.46	3	0.00100
Starostin (1989)         	0.8826 	-0.0070	 0.0271 	32.78	3	0.00100
Pān (2000)               	0.7573 	-0.0062	 0.0254 	30.05	3	0.00100
Baxter and Sagart (2014) 	0.8992 	-0.0061	 0.0258 	35.11	3	0.00100
Schuessler (2007)        	0.7689 	-0.0063	 0.0253 	30.62	3	0.00100
Karlgren (1954)          	0.5975 	-0.0080	 0.0240 	25.27	4	0.00100
Li (1971)                	0.8064 	-0.0078	 0.0382 	21.31	4	0.00100
Wáng (1980)              	0.7833 	-0.0079	 0.0329 	24.06	4	0.00100
Zhèngzhāng (2003)        	0.7138 	-0.0076	 0.0289 	24.93	4	0.00100
Starostin (1989)         	0.8297 	-0.0083	 0.0297 	28.23	4	0.00100
