Karlgren (1954)          	0.6664 	-0.0085	 0.0308 	21.94	1	0.00100
Li (1971)                	0.8737 	-0.0076	 0.0496 	17.76	1	0.00100
Wáng (1980)              	0.8643 	-0.0076	 0.0414 	21.05	1	0.00100
Zhèngzhāng (2003)        	0.8130 	-0.0076	 0.0368 	22.32	1	0.00100
Starostin (1989)         	0.9113 	-0.0099	 0.0399 	23.11	1	0.00100
Pān (2000)               	0.8130 	-0.0076	 0.0371 	22.11	1	0.00100
Baxter and Sagart (2014) 	0.9218 	-0.0093	 0.0379 	24.55	1	0.00100
Schuessler (2007)        	0.7940 	-0.0096	 0.0386 	20.81	1	0.00100
Karlgren (1954)          	0.5674 	-0.0106	 0.0319 	18.10	2	0.00100
Li (1971)                	0.8566 	-0.0124	 0.0508 	17.11	2	0.00100
Wáng (1980)              	0.8213 	-0.0106	 0.0446 	18.65	2	0.00100
Zhèngzhāng (2003)        	0.8044 	-0.0119	 0.0385 	21.23	2	0.00100
Starostin (1989)         	0.8451 	-0.0114	 0.0396 	21.64	2	0.00100
Pān (2000)               	0.7954 	-0.0114	 0.0383 	21.05	2	0.00100
Baxter and Sagart (2014) 	0.8877 	-0.0129	 0.0387 	23.27	2	0.00100
Schuessler (2007)        	0.7976 	-0.0107	 0.0395 	20.45	2	0.00100
Karlgren (1954)          	0.6593 	-0.0119	 0.0297 	22.57	3	0.00100
Li (1971)                	0.8761 	-0.0129	 0.0515 	17.25	3	0.00100
Wáng (1980)              	0.8085 	-0.0119	 0.0429 	19.11	3	0.00100
Zhèngzhāng (2003)        	0.8390 	-0.0120	 0.0354 	24.02	3	0.00100
Starostin (1989)         	0.8966 	-0.0115	 0.0389 	23.34	3	0.00100
Pān (2000)               	0.8390 	-0.0125	 0.0355 	23.96	3	0.00100
Baxter and Sagart (2014) 	0.8880 	-0.0117	 0.0372 	24.19	3	0.00100
Schuessler (2007)        	0.7606 	-0.0115	 0.0386 	20.01	3	0.00100
Karlgren (1954)          	0.5119 	-0.0085	 0.0300 	17.34	4	0.00100
Li (1971)                	0.6820 	-0.0070	 0.0511 	13.49	4	0.00100
Wáng (1980)              	0.7261 	-0.0088	 0.0423 	17.38	4	0.00100
Zhèngzhāng (2003)        	0.7171 	-0.0105	 0.0373 	19.52	4	0.00100
Starostin (1989)         	0.7777 	-0.0099	 0.0406 	19.38	4	0.00100
Pān (2000)               	0.6853 	-0.0103	 0.0372 	18.70	4	0.00100
Baxter and Sagart (2014) 	0.8099 	-0.0099	 0.0384 	21.35	4	0.00100
Schuessler (2007)        	0.7227 	-0.0083	 0.0382 	19.11	4	0.00100
Karlgren (1954)          	0.6019 	-0.0100	 0.0312 	19.63	5	0.00100
Li (1971)                	0.7716 	-0.0099	 0.0533 	14.67	5	0.00100
Wáng (1980)              	0.7076 	-0.0116	 0.0451 	15.94	5	0.00100
Zhèngzhāng (2003)        	0.6314 	-0.0102	 0.0396 	16.21	5	0.00100
Starostin (1989)         	0.7648 	-0.0100	 0.0415 	18.68	5	0.00100
